1992, B368,  Nucl.Phys., Horne & Horowitz,  Exact Black String Solutions in Three Dimensions
1992, B278,  Phys. Lett., Mikovic,  Hamiltonian construction of W-gravity actions
1991, A6,  Mod. Phys. Lett., Huitu & Nemeschansky,  Supersymmetric Gelfand-Dickey Algebra
1992, B373,  Nucl.Phys., Witten,  Ground Ring Of Two Dimensional String Theory
1991, A6,  Mod.Phys.Lett., Intriligator,  Fusion Residues
1991, A6,  Mod. Phys. Lett., Ooguri & Sasakura,  Discrete and Continuum Approaches to Three-Dimensional Quantum Gravity
1992, A7,  Int. J. Mod. Phys., LeCLair & Smirnov,  Infinite Quantum Group Symmetry of Fields in Massive 2D Quantum Field  Theory
1992, B372,  Nucl.Phys., Griffin,  Solving 3+1 QCD on the Transverse Lattice Using 1+1 Conformal Field  Theory
1992, B274,  Phys. Lett., Sen,  Twisted Black p-Brane Solutions in String Theory
1992, B372,  Nucl.Phys., Lerche & Smit & Warner,  Differential Equations for Periods and Flat Coordinates in Two  Dimensionsional Topological Matter Theories
1992, A7,  Int.J.Mod.Phys., Crnkovic & Douglas & Moore,  Loop Equations and the Topological Phase of Multi-Cut Matrix Models
1991, B269,  Phys. Lett., David & Neuberger,  A $U(N)$ Gauge Theory in Three Dimensions as an Ensemble of Surfaces
1992, B373,  Nucl.Phys., Gomez & Sierra,  A New Solution to the Star--Triangle Equation Based on U$_q$(sl(2)) at  Roots of Unit
1991, B271,  Phys.Lett., Lukierski & Novicki & Ruegg,  Real Forms of Complex Quantum Anti de Sitter Algebra $U_q (Sp(4,C))$ and  their Contraction Schemes
1992, B371,  Nucl. Phys., Berkovits & Hatsuda & Siegel,  The big picture
1992, A7,  Int. J. Mod. Phys., Colomo & Koubek & Mussardo,  On the S-matrix of the Sub-leading Magnetic Deformation of the  Tricritical Ising Model in Two Dimensions
1992, B274,  Phys.Lett., Nojiri,  Superstring in Two Dimensional Black Hole
1992, B276,  Phys. Lett., Sakai & Tanii,  Factorization and Topological States in $c=1$ Matter Coupled to 2-D  Gravity
1993, A8,  Int.J.Mod.Phys., Bienkowska,  The renormalization group flow in 2D N=2 SUSY Landau-Ginsburg models
1992, B375,  Nucl. Phys., Francesco & Kutasov,  World Sheet and Space Time Physics in Two Dimensional (Super) String  Theory
1992, D45,  Phys.Rev., Carlip,  (2+1)-Dimensional Chern-Simons Gravity as a Dirac Square Root
1992, B377,  Nucl. Phys., Yang,  Effective Superstrings
1992, B274,  Phys.Lett., Deckmyn & Schrans,  W3 Constructions on Affine Lie Algebras
1991, B272,  Phys. Lett., Caselle & Fiore & Gliozzi & Provero & Vinti,  Critical Boundary Conditions for the Effective String
1992, B274,  Phys. Lett., Minic & Yang,  Is S=1 for c=1?
1991, A6,  Mod. Phys. Lett., Schwarz,  On the solutions to the string equation
1993, B401,  Nucl.Phys., Mazzitelli & Mohammedi,  Classical Gravity Coupled to Liouville Theory
1992, B275,  Phys.Lett., Bauer & Sochen,  Singular vectors by Fusions in affine su(2)
1992, B374,  Nucl.Phys., Ambjorn & Johnson & Morris,  Stochastic Quantization vs. KdV Flows in 2D Quantum Gravity
1992, A7,  Int. J. Mod. Phys., Felder & LeClair,  Restricted Quantum Affine Symmetry of Perturbed Minimal Models
1992, B374,  Nucl. Phys., Fendley,  Excited-state thermodynamics
1992, A7,  Mod. Phys. Lett., Aoki & D'Hoker,  On the Liouville Approach to Correlation Functions for 2-D Quantum  Gravity
1992, A7,  Mod. Phys. Lett., Aoki & D'Hoker,  Correlation functions of minimal models coupled to two dimensional  quantum supergravity
1991, A6,  Mod.Phys.Lett., Khastgir & Kumar,  String Effective Action and Two Dimensional Charged Black Hole
1991, B272,  Phys.Lett., Ellis & Mavromatos & Nanopoulos,  On the connection between Quantum Mechanics and the geometry of  two-dimensional strings
1991, A6,  Mod. Phys. Lett., Rama,  New Special Operators in $W$-Gravity Theories
1991, A6,  Mod.Phys.Lett., Klebanov & Polyakov,  Interaction of Discrete States in Two-Dimensional String Theory
1991, B273,  Phys.Lett., Zaugg,  Some Correlation Functions of Minimal Superconformal Models Coupled to  Supergravity
1992, B375,  Nucl.Phys., Hassan & Sen,  Twisting Classical Solutions in Heterotic String Theory
1991, B273,  Phys.Lett., Banks & Dine & Seiberg,  Irrational Axions as a Solution of The Strong CP Problem in an Eternal  Universe
1992, B278,  Phys. Lett., Francesco & Mathieu,  Singular Vectors and Conservation Laws of Quantum KdV type equations
1992, D45,  Phys.Rev., Banks & Dine,  Note on Discrete Gauge Anomalies
1992, B373,  Nucl.Phys., Hollowood & Miramontes & Pasquinucci & Nappi,  Hermitian vs. Anti-Hermitian 1-Matrix Models and Their Hierarchies
1992, B373,  Nucl.Phys., Alvarez & Singer & Windey,  The supersymmetric sigma model and the geometry of the Weyl-Kac  character formula
1992, B372,  Nucl.Phys., Tseytlin & Vafa,  Elements of String Cosmology
1992, B368,  Nucl. Phys., Garcia-Bellido & quiros,  Extended Inflation from Strings
1992, D45,  Phys.Rev., Burgess & Marini,  The Damping of Energetic Gluons and Quarks in High-Temperature QCD
1992, B375,  Nucl. Phys., Bonora & Martellini & Xiong,  Integrable Discrete Linear Systems and One-Matrix Model
1991, B263,  Phys. Lett., Evans & Giannakis,  Deformations, Symmetries and Topological Degrees of Freedom of the  String
1991, B273,  Phys.Lett., Corrigan & Dorey,  A representation of the exchange relation for affine Toda field theory
1992, A7,  Int. J. Mod. Phys., Ravanini,  On the possibility of $Z_N$ exotic supersymmetry in two dimensional  Conformal Field Theory
1992, A7,  Int.J.Mod.Phys., Halpern & Kiritsis & Obers,  The Lie h-Invariant Conformal Field Theories and the Lie h-Invariant  Graphs
1991, B273,  Phys. Lett., Caselle & Gliozzi,  The Effective String of 3D Gauge Systems at the Deconfining Transition
1992, A7,  Int. J. Mod. Phys., Mathieu & Senechal & Walton,  Field Identification in Non-Unitary Diagonal Cosets
1991, A6,  Mod.Phys.Lett., Meissner & Veneziano,  Manifestly $O(d,d)$ Invariant Approach to Space-Time Dependent String  Vacua
1991, B273,  Phys. Lett., Maassarani,  On the Solution of Topological Landau-Ginzburg Models with $c=3$
